date,price,nvts,nvts_low,nvts_high,deviation_from_low,deviation_from_high,z_score_low,z_score_high,z_score
2020-03-18 00:00:00,5357.61,74.17953076,118.6181466,189.6307666,-44.43861584,-115.45123583999998,1.9157051350152288,1.4344091853375713,1.6750571601764
2020-03-19 00:00:00,5410.23,77.52320724,118.6483091,189.5830008,-41.12510186,-112.05979356,1.8325538111528321,1.3616236242983073,1.5970887177255697
2020-03-20 00:00:00,6195.2,95.654941,118.7086006,189.5034398,-23.053659600000003,-93.8484988,1.3790581092811125,0.9707812637560498,1.1749196865185811
2020-03-21 00:00:00,6226.44,86.57428247,118.7528616,189.4390294,-32.17857913,-102.86474693000001,1.6080443588147073,1.1642837987929335,1.3861640788038203
2020-03-22 00:00:00,6189.85,88.79631397,118.8021269,189.3685811,-30.005812930000005,-100.57226713,1.5535196496799453,1.115083660728316,1.3343016552041307
2020-03-23 00:00:00,5822.62,91.38182428,118.8491869,189.3043026,-27.467362620000003,-97.92247832,1.4898182423192283,1.0582151224345093,1.2740166823768688
2020-03-24 00:00:00,6502.16,92.93072466,118.9048956,189.2279257,-25.974170940000008,-96.29720103999999,1.4523471872031986,1.0233341753616993,1.237840681282449
2020-03-25 00:00:00,6768.49,92.21987444,118.9694636,189.1358428,-26.74958916,-96.91596836000001,1.4718060009970133,1.03661387255854,1.2542099367777766
2020-03-26 00:00:00,6698.46,92.68603714,119.0347432,189.0429957,-26.348706059999998,-96.35695856000001,1.4617459980272773,1.0246166635364697,1.2431813307818735
2020-03-27 00:00:00,6763.75,92.45973013,119.0965369,188.955481,-26.636806770000007,-96.49575087,1.468975771490372,1.0275953597126832,1.2482855656015275
2020-03-28 00:00:00,6369.09,86.56721812,119.1548586,188.8663359,-32.58764047999999,-102.29911777999999,1.6183095917362353,1.152144528351653,1.385227060043944
2020-03-29 00:00:00,6260.95,84.74973113,119.2161664,188.769605,-34.466435270000005,-104.01987387000001,1.6654572045114417,1.1890745973553285,1.427265900933385
2020-03-30 00:00:00,5885.41,89.94369209,119.2910546,188.6552234,-29.347362509999996,-98.71153131000001,1.5369960966026919,1.075149411691191,1.3060727541469415
2020-03-31 00:00:00,6405.29,89.00038608,119.3707339,188.5304365,-30.370347820000006,-99.53005042000001,1.5626675086841597,1.0927160891469871,1.3276917989155734
2020-04-01 00:00:00,6428.28,90.16011877,119.4368182,188.4313999,-29.276699430000008,-98.27128113,1.5352228345353944,1.065700966545034,1.3004619005402143
2020-04-02 00:00:00,6652.87,93.85718725,119.5000177,188.3421346,-25.642830450000005,-94.48494735000001,1.444032328548908,0.9844404273094325,1.2142363779291703
2020-04-03 00:00:00,6809.11,94.99814917,119.5675287,188.2470374,-24.569379529999992,-93.24888823,1.4170945019279657,0.9579126998415483,1.187503600884757
2020-04-04 00:00:00,6741.67,93.08078011,119.6380542,188.1437088,-26.557274089999993,-95.06292869,1.4669799303162463,0.9968447947227341,1.2319123625194903
2020-04-05 00:00:00,6871.69,93.83637314,119.710651,188.037648,-25.874277859999992,-94.20127485999998,1.4498404098372875,0.9783523799150192,1.2140963948761534
2020-04-06 00:00:00,6777.44,99.65334315,119.7783835,187.9485699,-20.125040350000006,-88.29522675,1.305565566561737,0.851599514991947,1.078582540776842
2020-04-07 00:00:00,7343.2,101.4913791,119.8426799,187.8676723,-18.35130079999999,-86.3762932,1.2610542735176096,0.8104162532694987,1.0357352633935542
2020-04-08 00:00:00,7205.55,101.5847451,119.9134347,187.7763796,-18.32868959999999,-86.1916345,1.2604868543893168,0.8064531939069548,1.0334700241481358
2020-04-09 00:00:00,7365.03,99.6099074,119.9721856,187.7009534,-20.362278200000006,-88.091046,1.3115189566535959,0.8472174824479146,1.0793682195507552
2020-04-10 00:00:00,7293.69,93.13420631,120.0108069,187.648895,-26.87660059000001,-94.51468869000001,1.474993302639289,0.985078722152522,1.2300360123959055
2020-04-11 00:00:00,6873.24,93.2986313,120.0203908,187.6374623,-26.721759500000005,-94.33883100000001,1.4711076266773009,0.9813045459841105,1.2262060863307056
2020-04-12 00:00:00,6891.6,93.02252733,120.0153045,187.6431088,-26.992777169999997,-94.62058146999999,1.477908708002632,0.9873513438768421,1.2326300259397371
2020-04-13 00:00:00,6915.37,93.67656177,120.0117656,187.6470002,-26.335203829999998,-93.97043843,1.461407164901366,0.9733982755314855,1.2174027202164257
2020-04-14 00:00:00,6857.66,96.87875956,120.0021015,187.6561655,-23.12334193999999,-90.77740593999998,1.3808067600656877,0.9048708933696841,1.1428388267176859
2020-04-15 00:00:00,6871.95,94.70228158,119.9904635,187.6678987,-25.28818192,-92.96561711999999,1.4351325638419086,0.9518332666785088,1.1934829152602087
2020-04-16 00:00:00,6623.8,100.0804546,119.986477,187.6714004,-19.906022399999998,-87.59094580000001,1.3000693976600657,0.8364845639348956,1.0682769807974806
2020-04-17 00:00:00,7112.27,99.27577948,119.9772001,187.6794073,-20.701420620000007,-88.40362782000001,1.320029601657996,0.8539259684727379,1.086977785065367
2020-04-18 00:00:00,7034.89,100.2002597,119.9641104,187.6897894,-19.763850699999992,-87.48952969999999,1.2965016550333186,0.8343080186401557,1.0654048368367373
2020-04-19 00:00:00,7259.36,101.6065927,119.9490773,187.7005631,-18.342484600000006,-86.09397040000002,1.260833034462679,0.8043571722957912,1.032595103379235
2020-04-20 00:00:00,7130.04,100.3543422,119.9194394,187.71876,-19.565097199999997,-87.3644178,1.2915140144961013,0.8316229250774878,1.0615684697867946
2020-04-21 00:00:00,6840.24,97.78491464,119.8787892,187.7433275,-22.093874560000003,-89.95841286,1.3549726829992161,0.887294043789607,1.1211333633944116
2020-04-22 00:00:00,6852.52,100.7949795,119.8410182,187.7617186,-19.046038699999997,-86.9667391,1.2784884465650346,0.8230881292876372,1.050788287926336
2020-04-23 00:00:00,7130.99,101.0256088,119.7947923,187.7778624,-18.769183499999997,-86.7522536,1.2715408747312833,0.8184849409791259,1.0450129078552046
2020-04-24 00:00:00,7477.6,105.9126742,119.758243,187.7855544,-13.845568799999995,-81.8728802,1.147984709595274,0.7137660924427848,0.9308754010190294
2020-04-25 00:00:00,7507.08,105.6376136,119.7282134,187.795412,-14.090599800000007,-82.1577984,1.1541336657066128,0.7198808746873754,0.937007270196994
2020-04-26 00:00:00,7549.52,107.7513998,119.6973204,187.8012761,-11.945920599999994,-80.0498763,1.1003137887371648,0.6746416283701521,0.8874777085536585
2020-04-27 00:00:00,7699.27,108.9946847,119.6641994,187.8035749,-10.669514700000008,-78.80889020000001,1.0682828870987862,0.6480081603429658,0.8581455237208759
2020-04-28 00:00:00,7790.66,108.6829664,119.6262481,187.8033057,-10.9432817,-79.12033930000001,1.075152961773961,0.6546923364565792,0.8649226491152702
2020-04-29 00:00:00,7765.33,110.4892642,119.5933852,187.80227,-9.104121000000006,-77.3130058,1.0289999508243313,0.6159041832397837,0.8224520670320574
2020-04-30 00:00:00,8777.63,121.2678542,119.586499,187.8006479,1.6813551999999987,-66.5327937,0.7583426878915314,0.38454427172132294,0.5714434798064272
2020-05-01 00:00:00,8628.77,120.2729792,119.5714615,187.7954197,0.7015176999999966,-67.5224405,0.7829313227326075,0.40578361227961574,0.5943574675061116
