name,date,value,z_score
SSR RSI Smoothed,2014-05-10,,
SSR RSI Smoothed,2014-05-11,,
SSR RSI Smoothed,2014-05-12,,
SSR RSI Smoothed,2014-05-13,,
SSR RSI Smoothed,2014-05-14,,
SSR RSI Smoothed,2014-05-15,,
SSR RSI Smoothed,2014-05-16,,
SSR RSI Smoothed,2014-05-17,,
SSR RSI Smoothed,2014-05-18,,
SSR RSI Smoothed,2014-05-19,,
SSR RSI Smoothed,2014-05-20,,
SSR RSI Smoothed,2014-05-21,,
SSR RSI Smoothed,2014-05-22,,
SSR RSI Smoothed,2014-05-23,,
SSR RSI Smoothed,2014-05-24,,
SSR RSI Smoothed,2014-05-25,,
SSR RSI Smoothed,2014-05-26,,
SSR RSI Smoothed,2014-05-27,,
SSR RSI Smoothed,2014-05-28,,
SSR RSI Smoothed,2014-05-29,,
SSR RSI Smoothed,2014-05-30,,
SSR RSI Smoothed,2014-05-31,,
SSR RSI Smoothed,2014-06-01,,
SSR RSI Smoothed,2014-06-02,,
SSR RSI Smoothed,2014-06-03,,
SSR RSI Smoothed,2014-06-04,,
SSR RSI Smoothed,2014-06-05,,
SSR RSI Smoothed,2014-06-06,,
SSR RSI Smoothed,2014-06-07,,
SSR RSI Smoothed,2014-06-08,,
SSR RSI Smoothed,2014-06-09,,
SSR RSI Smoothed,2014-06-10,,
SSR RSI Smoothed,2014-06-11,,
SSR RSI Smoothed,2014-06-12,,
SSR RSI Smoothed,2014-06-13,,
SSR RSI Smoothed,2014-06-14,,
SSR RSI Smoothed,2014-06-15,,
SSR RSI Smoothed,2014-06-16,,
SSR RSI Smoothed,2014-06-17,,
SSR RSI Smoothed,2014-06-18,,
SSR RSI Smoothed,2014-06-19,,
SSR RSI Smoothed,2014-06-20,,
SSR RSI Smoothed,2014-06-21,,
SSR RSI Smoothed,2014-06-22,,
SSR RSI Smoothed,2014-06-23,,
SSR RSI Smoothed,2014-06-24,,
SSR RSI Smoothed,2014-06-25,,
SSR RSI Smoothed,2014-06-26,,
SSR RSI Smoothed,2014-06-27,,
SSR RSI Smoothed,2014-06-28,,
SSR RSI Smoothed,2014-06-29,,
SSR RSI Smoothed,2014-06-30,,
SSR RSI Smoothed,2014-07-01,,
SSR RSI Smoothed,2014-07-02,,
SSR RSI Smoothed,2014-07-03,,
SSR RSI Smoothed,2014-07-04,,
SSR RSI Smoothed,2014-07-05,,
SSR RSI Smoothed,2014-07-06,,
SSR RSI Smoothed,2014-07-07,,
SSR RSI Smoothed,2014-07-08,,
SSR RSI Smoothed,2014-07-09,,
SSR RSI Smoothed,2014-07-10,,
SSR RSI Smoothed,2014-07-11,,
SSR RSI Smoothed,2014-07-12,,
SSR RSI Smoothed,2014-07-13,,
