date,rhodl_ratio,BTC price,z_score
2010-08-17,0.1976858489458723,0.07,0.4120691364127171
2010-08-18,0.3765371066876411,0.068,0.41205915437524754
2010-08-19,0.55947437296653,0.0667,0.4120489442896734
2010-08-20,0.7127538803587297,0.0655,0.4120403894614579
2010-08-21,0.9347450195095702,0.0664,0.4120279997030805
2010-08-22,1.1652101390348877,0.0659289888953828,0.4120151369953334
2010-08-23,1.203914017487426,0.06491,0.41201297685640115
2010-08-24,1.3755342921355822,0.065,0.412003398394199
2010-08-25,1.449465642934909,0.0648,0.4119992721413385
2010-08-26,1.5791072229686836,0.0640751139684395,0.4119920365919449
2010-08-27,1.7403512894118467,0.065,0.4119830372461572
2010-08-28,1.6344093616126854,0.0646,0.41198895007174335
2010-08-29,1.8033932824116992,0.064,0.41197951874959066
2010-08-30,1.921884838517785,0.06497,0.41197290550477583
2010-08-31,2.2618584018910872,0.06,0.41195393091722693
2010-09-01,2.586589034438599,0.0620248275862069,0.4119358070673724
2010-09-02,2.7456396232407565,0.0634,0.4119269301438493
2010-09-03,2.758002642623355,0.06085,0.41192624013962864
2010-09-04,2.9266875790510425,0.062178275862069,0.41191682550437675
2010-09-05,4.424038316923291,0.06165,0.41183325543973603
2010-09-06,4.854893352728849,0.0616,0.41180920857998415
2010-09-07,4.82807466179595,0.0612391180596142,0.41181070538342385
2010-09-08,4.78519557687293,0.061,0.41181309854877124
2010-09-09,5.190442693790259,0.0611149707773232,0.41179048091691006
2010-09-10,5.279766486723572,0.0610115242548218,0.4117854955818375
2010-09-11,5.318605061732435,0.0636208649912332,0.4117833279252278
2010-09-12,5.353736755300899,0.0615,0.4117813671569
2010-09-13,5.345547784888434,0.06218,0.41178182419930787
2010-09-14,5.628456326329109,0.06199,0.4117660345219146
2010-09-15,6.149741089637055,0.0604,0.4117369406027252
2010-09-16,6.411430851517553,0.0619,0.4117223351867976
2010-09-17,7.645661674556143,0.0600005260081823,0.4116534503577097
2010-09-18,8.492035426933478,0.061,0.4116062125880895
2010-09-19,8.91732529350183,0.0627,0.4115824763312853
2010-09-20,7.459254547771993,0.0621017358270018,0.4116638541029652
2010-09-21,7.524392973329416,0.06265,0.4116602186004094
2010-09-22,7.687776946044108,0.061881870251315,0.41165109982227965
2010-09-23,9.475732958948129,0.062153512565751,0.41155131051053473
2010-09-24,8.661318162465115,0.0622,0.41159676458850386
2010-09-25,8.684886021850486,0.06202,0.41159544922031227
2010-09-26,8.737781502343637,0.062,0.4115924970203953
2010-09-27,9.623771075139349,0.0622004418468732,0.4115430482145833
2010-09-28,12.403996935778231,0.0619038977206312,0.4113878783876265
2010-09-29,12.729561615668162,0.06191,0.41136970798796335
2010-09-30,10.785163891536316,0.0619,0.4114782286166864
2010-10-01,12.65099993811062,0.0619733138515488,0.4113740926683897
2010-10-02,18.887181534388024,0.0614,0.4110260392124222
2010-10-03,19.258979448719533,0.0610648684979544,0.41100528844578615
2010-10-04,21.153641098833933,0.0612944769140853,0.4108995436843435
2010-10-05,22.724904401318092,0.0614,0.41081184841533613
2010-10-06,23.50304405825146,0.06281,0.4107684189236448
2010-10-07,24.83432850041,0.067,0.41069411734281114
2010-10-08,27.46428208333444,0.0844531081239041,0.41054733450471725
2010-10-09,24.512881981376538,0.0938,0.41071205789988624
2010-10-10,27.75092839763617,0.0971462010520164,0.4105313362149316
2010-10-11,29.051981621462662,0.095,0.4104587218973465
2010-10-12,29.88024083539819,0.0949,0.41041249513544154
2010-10-13,32.323341084157136,0.104865589129164,0.4102761409463071
2010-10-14,33.90837141053915,0.102,0.4101876773128491
2010-10-15,35.38861089563315,0.105,0.4101050622605944
2010-10-16,32.1674678003263,0.101,0.4102848405382437
2010-10-17,30.512119981121486,0.102,0.4103772287281012
2010-10-18,31.991782430922896,0.1024,0.41029464588131137
2010-10-19,30.350096514506447,0.0975448918760959,0.41038627157373236
2010-10-20,32.37390223395033,0.099,0.41027331902993863
2010-10-21,33.2115866298695,0.107,0.41022656623024734
2010-10-22,33.332256122782226,0.1025,0.41021983143053214
2010-10-23,30.09255432084292,0.104556424313267,0.4104006455057897
2010-10-24,35.97654957249953,0.11501,0.41007224825650856
2010-10-25,39.586024278536854,0.139118552893045,0.409870796434385
2010-10-26,44.94102847191326,0.151,0.4095719232076436
2010-10-27,54.652044665176184,0.1877,0.40902993245659824
2010-10-28,62.33982713232527,0.1731,0.40860086232528353
2010-10-29,64.99145566300479,0.19,0.40845286976608736
2010-10-30,69.85467955660685,0.197610543541789,0.4081814437568893
2010-10-31,73.12568202717318,0.1925,0.4079988827302768
2010-11-01,74.17014953893184,0.194525061367621,0.4079405889616459
2010-11-02,73.75402976186272,0.1938,0.4079638134178728
2010-11-03,63.873177419104515,0.1931,0.4085152830556162
2010-11-04,75.02881536747299,0.229275160724722,0.4078926651472844
2010-11-05,77.51432909225264,0.259112413793104,0.4077539437793434
2010-11-06,122.76232522913872,0.400982302746932,0.4052285648775412
2010-11-07,132.31781860475095,0.34,0.4046952541582316
2010-11-08,158.6268395091699,0.243184628872005,0.4032268963967498
2010-11-09,158.8693500550214,0.217272694330801,0.40321336141026987
2010-11-10,161.65315011085158,0.229549731151373,0.4030579921005095
2010-11-11,154.7331491162124,0.2231,0.40344421085060495
2010-11-12,153.59620409626217,0.2682,0.4035076659693069
2010-11-13,149.37642202542656,0.276,0.40374318023561057
2010-11-14,148.84782043648286,0.27904,0.40377268252110715
2010-11-15,71.27118806547702,0.268464555815313,0.4081023856546984
2010-11-16,71.87969394329225,0.225,0.40806842375501984
