timestamp,rhodl_ratio,price
1282003200000,0.19768584894587235,0.07
1282089600000,0.3765371066876411,0.068
1282176000000,0.55947437296653,0.0667
1282262400000,0.7127538803587297,0.0655
1282348800000,0.9347450195095702,0.0664
1282435200000,1.1652101390348877,0.0659289888953828
1282521600000,1.2039140174874259,0.06491
1282608000000,1.3755342921355822,0.065
1282694400000,1.4494656429349093,0.0648
1282780800000,1.5791072229686836,0.0640751139684395
1282867200000,1.7403512894118467,0.065
1282953600000,1.6344093616126854,0.0646
1283040000000,1.8033932824116992,0.064
1283126400000,1.9218848385177847,0.06497
1283212800000,2.2618584018910872,0.06
1283299200000,2.586589034438599,0.0620248275862069
1283385600000,2.7456396232407565,0.0634
1283472000000,2.758002642623355,0.06085
1283558400000,2.9266875790510425,0.062178275862069
1283644800000,4.424038316923291,0.06165
1283731200000,4.854893352728849,0.0616
1283817600000,4.82807466179595,0.0612391180596142
1283904000000,4.78519557687293,0.061
1283990400000,5.190442693790259,0.0611149707773232
1284076800000,5.279766486723572,0.0610115242548218
1284163200000,5.318605061732435,0.0636208649912332
1284249600000,5.353736755300899,0.0615
1284336000000,5.345547784888434,0.06218
1284422400000,5.628456326329109,0.06199
1284508800000,6.149741089637055,0.0604
1284595200000,6.411430851517553,0.0619
1284681600000,7.645661674556143,0.0600005260081823
1284768000000,8.492035426933478,0.061
1284854400000,8.91732529350183,0.0627
1284940800000,7.459254547771993,0.0621017358270018
1285027200000,7.524392973329416,0.06265
1285113600000,7.687776946044108,0.061881870251315
1285200000000,9.475732958948129,0.062153512565751
1285286400000,8.661318162465115,0.0622
1285372800000,8.684886021850486,0.06202
1285459200000,8.737781502343637,0.062
1285545600000,9.623771075139349,0.0622004418468732
1285632000000,12.403996935778231,0.0619038977206312
1285718400000,12.729561615668162,0.06191
1285804800000,10.785163891536317,0.0619
1285891200000,12.650999938110619,0.0619733138515488
1285977600000,18.887181534388024,0.0614
1286064000000,19.258979448719533,0.0610648684979544
1286150400000,21.153641098833933,0.0612944769140853
1286236800000,22.724904401318092,0.0614
1286323200000,23.50304405825146,0.06281
1286409600000,24.83432850041,0.067
1286496000000,27.464282083334442,0.0844531081239041
1286582400000,24.512881981376538,0.0938
1286668800000,27.75092839763617,0.0971462010520164
1286755200000,29.051981621462662,0.095
1286841600000,29.88024083539819,0.0949
1286928000000,32.323341084157136,0.104865589129164
1287014400000,33.90837141053915,0.102
1287100800000,35.38861089563315,0.105
1287187200000,32.1674678003263,0.101
1287273600000,30.512119981121486,0.102
1287360000000,31.991782430922896,0.1024
1287446400000,30.350096514506447,0.0975448918760959
1287532800000,32.37390223395033,0.099
1287619200000,33.2115866298695,0.107
1287705600000,33.332256122782226,0.1025
1287792000000,30.09255432084292,0.104556424313267
1287878400000,35.97654957249953,0.11501
