timestamp,mvrv_z,price
1523404800000,-0.38019867496539794,6939.18
1523491200000,-0.3270147747663497,7926.600582959641
1523577600000,-0.26701078616458124,7858.320396825395
1523664000000,-0.21586897883459688,7994.162746478875
1523750400000,-0.15764681452722054,8355.635478723412
1523836800000,-0.0992784823884549,8052.68
1523923200000,-0.052239844719378106,7906.81
1524009600000,0.001727581291750392,8162.99
1524096000000,0.013892275972076724,8282.55
1524182400000,0.048828406164153834,8836.46
1524268800000,0.07899276021629757,8883.36
1524355200000,0.09418134617308561,8802.53
1524441600000,0.1260101890212653,8930.91
1524528000000,0.19073451652431078,9732.61
1524614400000,0.21847448636912153,8826.28
1524700800000,0.2514269976700759,9280.92
1524787200000,0.25496873743383663,9011.78
1524873600000,0.2702624948289915,9343.42
1524960000000,0.28980207782994194,9415.09
1525046400000,0.2978846749445093,9247.19
1525132800000,0.2754495021163502,9105.53
1525219200000,0.2822856113244587,9233.72
1525305600000,0.2982553788975765,9755.31
1525392000000,0.3207562355113679,9715.82
1525478400000,0.33531739284081663,9843.13
1525564800000,0.3409328939489558,9646.74
1525651200000,0.34362563959126774,9369.84
1525737600000,0.347049559207406,9249.75
1525824000000,0.34803528363413944,9324.28
1525910400000,0.3223798436699673,9040.52
1525996800000,0.2751600879928296,8462.5
1526083200000,0.2270129482817754,8499.34
1526169600000,0.19344748819911423,8723.64
1526256000000,0.1672584278989158,8719.89
1526342400000,0.13693627610580789,8515.22
1526428800000,0.09797170842056636,8358.62
1526515200000,0.05529934638914043,8085.7
1526601600000,0.043962962961406435,8251.45
1526688000000,0.029544470633539148,8241.68
1526774400000,0.018011965395174738,8515.58
1526860800000,0.004978556976294027,8409.37
1526947200000,-0.014701119318631816,8049.56
1527033600000,-0.04874287966396839,7566.26
1527120000000,-0.06750964200172359,7593.13
1527206400000,-0.10198146521971536,7453.44
1527292800000,-0.13883625321752044,7358.47
1527379200000,-0.18617916795725095,7364.09
1527465600000,-0.23875251704947129,7134.68
1527552000000,-0.26169242818367144,7467.58
1527638400000,-0.2665026209384954,7406.19
1527724800000,-0.2694338811235985,7491.64
1527811200000,-0.26216804376406333,7539.14
1527897600000,-0.24764028795848184,7646.74
1527984000000,-0.23018232133317246,7720.25
1528070400000,-0.21285258753187364,7499.48
1528156800000,-0.2046904517811646,7625.55
1528243200000,-0.19228860918237964,7656.09
1528329600000,-0.18300302581135144,7676.55
1528416000000,-0.1777604060105624,7631.9
1528502400000,-0.1780497234270346,7565.0
1528588800000,-0.22018841724384103,6784.03
1528675200000,-0.24753085456312954,6901.13
1528761600000,-0.29461970631893364,6566.2
1528848000000,-0.35264393589069115,6342.43
1528934400000,-0.39682045464429716,6681.42
1529020800000,-0.4488265625422655,6460.85
1529107200000,-0.4953079427041119,6538.65
1529193600000,-0.5049237667501313,6503.94
1529280000000,-0.5077577771596953,6733.38
1529366400000,-0.49515779945752136,6759.1
1529452800000,-0.4716832223479834,6776.84
1529539200000,-0.4655409688876616,6737.58
1529625600000,-0.4831515824505831,6083.68
1529712000000,-0.5005709156765554,6166.8
1529798400000,-0.5167547734158436,6168.79
1529884800000,-0.538748726041803,6260.63
1529971200000,-0.5707618892887663,6096.19
1530057600000,-0.5977713581868821,6154.48
1530144000000,-0.6363561798998002,5903.44
1530230400000,-0.6226478102340843,6220.76
1530316800000,-0.6045797493875263,6396.98
1530403200000,-0.586212340279971,6388.12
1530489600000,-0.562202828657922,6614.92
1530576000000,-0.5349827936325318,6533.56
1530662400000,-0.5092924705601212,6609.7
1530748800000,-0.46753106456018834,6643.34
1530835200000,-0.4435739252238384,6674.68
1530921600000,-0.4189768744888745,6859.53
1531008000000,-0.3988735452199586,6762.01
1531094400000,-0.3914830132152144,6746.22
1531180800000,-0.3995409228488387,6328.33
1531267200000,-0.40845931091230747,6393.59
1531353600000,-0.43141109429163577,6228.81
1531440000000,-0.4515768425895768,6236.49
1531526400000,-0.4791163898562207,6275.18
1531612800000,-0.4969294167176452,6359.64
1531699200000,-0.4963509832482268,6742.49
1531785600000,-0.4463004103747649,7318.74
1531872000000,-0.39753532772022115,7370.78
1531958400000,-0.333213890343338,7466.86
1532044800000,-0.27813265050308006,7354.94
1532131200000,-0.22287236892862003,7418.71
1532217600000,-0.17275358291569423,7418.49
1532304000000,-0.1274185252052739,7713.31
1532390400000,-0.08452380329117969,8424.27
1532476800000,-0.05056387675793452,8181.39
1532563200000,-0.03114390986806911,7951.58
1532649600000,0.0022119532825108307,8167.81
1532736000000,0.03360315783677863,8188.85
1532822400000,0.06730388993459642,8221.44
1532908800000,0.08504183292629354,8183.56562256
1532995200000,0.06018120211884494,7774.87303565
1533081600000,0.03489045881006355,7624.90741594
1533168000000,0.018013578198611917,7567.15160233
1533254400000,-0.01292384090918938,7436.26183554
1533340800000,-0.06298169721503473,7032.21316739
1533427200000,-0.11390981057513352,7064.02626634
1533513600000,-0.16647629574944642,6951.2803658
1533600000000,-0.21186189799684976,6753.71764839
1533686400000,-0.2727624458867032,6305.80304475
1533772800000,-0.3171214956160009,6568.02168724
1533859200000,-0.3764806565377957,6184.71178367
1533945600000,-0.40696963766660926,6289.74605164
1534032000000,-0.44086575853197074,6335.06058091
1534118400000,-0.4714686407086019,6297.96664043
1534204800000,-0.49657589850689055,6199.71276805
1534291200000,-0.49500732125546154,6293.27724365
1534377600000,-0.5060569243849079,6324.7423257
1534464000000,-0.48362483797488365,6580.62933687
1534550400000,-0.47887705772138384,6423.68691813
1534636800000,-0.46877604597463723,6506.06881185
1534723200000,-0.46691791056884513,6305.19259562
1534809600000,-0.45206424148079244,6496.258447
1534896000000,-0.4474924403034363,6376.83461362
1534982400000,-0.4364170133410675,6534.87662447
1535068800000,-0.4299850246534848,6717.68298629
1535155200000,-0.4133529816052778,6769.94985511
1535241600000,-0.40281469104686973,6715.64805358
1535328000000,-0.3747763606690538,6881.56612007
1535414400000,-0.34574966386395056,7096.27708292
1535500800000,-0.3134894934234204,7046.07682983
1535587200000,-0.29271928889681054,6981.57685708
1535673600000,-0.2777805580024425,7036.75531489
1535760000000,-0.25894818813498316,7193.41650052
1535846400000,-0.23360046589884703,7269.10081969
1535932800000,-0.2164261416943139,7264.79922436
1536019200000,-0.20562850287293788,7362.7119946
1536105600000,-0.21662841185853993,6818.83022958
1536192000000,-0.23819272534036165,6538.48023324
1536278400000,-0.26580430975910163,6463.22559639
1536364800000,-0.3133481558472314,6223.43011665
1536451200000,-0.3597028790426385,6303.80648503
1536537600000,-0.40442798346724845,6329.69690852
1536624000000,-0.45284176929436043,6324.59015192
1536710400000,-0.4748213865487222,6360.69694706
1536796800000,-0.4739799295628942,6521.23827161
1536883200000,-0.4698883222866282,6512.70548453
1536969600000,-0.4519325346267781,6544.13620369
1537056000000,-0.4404800500548008,6514.52997091
1537142400000,-0.44151520314759013,6281.19609296
